DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,HU,2013,-2655.7,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,HU,2014,-2948.7,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,HU,2015,-2260.3,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,HU,2016,-2088.9,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,HU,2017,-3123.7,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,HU,2018,-2798.1,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,HU,2019,-2999.5,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,HU,2020,-10422.4,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,HU,2021,-11018.3,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,HU,2022,-10544.7,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IE,2013,-11473.4,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IE,2014,-7047.4,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IE,2015,-5358.1,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IE,2016,-2071.4,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IE,2017,-861.5,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IE,2018,437.3,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IE,2019,1691.3,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IE,2020,-18703.6,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IE,2021,-6599.9,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IE,2022,8504.4,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IT,2013,-46032,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IT,2014,-48080,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IT,2015,-42248,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IT,2016,-40765,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IT,2017,-42010,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IT,2018,-38353,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IT,2019,-27004,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IT,2020,-159457,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IT,2021,-159908,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,IT,2022,-156442,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LT,2013,-920.3,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LT,2014,-220,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LT,2015,-111.8,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LT,2016,97.8,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LT,2017,176.4,
